Group name,Items name,LSL,TYP,USL,Unit,Command,Power
FIXTURE_INIT,SLOT_ID,,,,,,
POWER_TREE,PP_BERYL_VDDMAIN,3.7,,3.9,V,"SCP:beryl pwr mode set ACT3
SCP:beryl mfio set config 11 1
",Set 3.8V in PP_VDDMAIN
,PP_0V65_A0A2A3_BUCK0_OUT,0.55,,0.75,V,,
,PP_0V85_A0A2A3_BUCK1_OUT,0.75,,0.95,V,,
,PP_1V2R1V8_A0A2A3_BUCK2_OUT,1.4,,1.6,V,,
,PP_1V8_HO_BUCK3_OUT,1.7,,1.9,V,,
,PP_1V8_A0A2A3_LDO0_OUT,1.7,,1.9,V,,
,PP_1V2_A0A2A3_LDO1_OUT,1.1,,1.3,V,,
,PP_1V2_A3_LDO2_OUT,1.1,,1.3,V,,
,PP_1V8_A3_LDO3_OUT,1.7,,1.9,V,,
,PP_VDDMAIN,3.7,,3.9,V,,
,PP_3V0_A2_LDO4_OUT,2.9,,3.1,V,,
,PP_3V0_A0_LDO5_OUT,2.9,,3.1,V,,
,PP_1V8_A3_LDO6_OUT,1.7,,1.9,V,,
,PP_1V8_A3_LDO7_OUT,1.7,,1.9,V,,
,NC_PP_2V1_XX_BUCK4_OUT,2,,2.2,V,,
,PP_3V3_HO_BUBO0_OUT,3.25,,3.5,V,,
,PP_3V3_FW_LS0_OUT,3.25,,3.5,V,"SCP:gpio config F 5 outputPP none high 0
SCP:gpio set F 5 1
",
,PP_1V8_A0_LS1_OUT,1.7,,1.9,V,,
,PP_0V85_A3_LS6_OUT,0.75,,0.95,V,,
,PP_1V2R1V8_A0A2A3_BUCK2_OUT_L,1.1,,1.3,V,"SCP:beryl write 0x2200 0x20
",
FW_VERSION_CHECK,SCP_VERSION,,,,,"SCP:ft version
",
,W2_VERSION,,,,,"W2:ft version
",
MLBSN_CHECK,MLBSN_CHECK,,,,,,
CHECK_CONFIG,S_BUILD,,,,,,
,BUILD_EVENT,,,,,,
,BUILD_MATRIX_CONFIG,,,,,,
SYSTEM_CURRENT,I_SYSTEM_CURR_ACT3,5,,50,mA,"SCP:i2c write reg16 i2c1 0x78 0x1401 03
SCP:i2c read reg16 i2c1 0x78 0x1401 1
SCP:gpio config a 10 outputPP
SCP:gpis set a 10 0
",Set 3.8V in PP_VDDMAIN
,I_SYSTEM_CURR_ACT0,3,,50,mA,"SCP:i2c write reg16 i2c1 0x78 0x1402 00
SCP:i2c write reg16 i2c1 0x78 0x1401 00
SCP:i2c read reg16 i2c1 0x78 0x1401 1
",
RESET_CURRENT,I_RESET_MCU_HEARST,0.001,,20,mA,,Set 3.8V in PP_VDDMAIN
MOMENT_COMP_CALIBRATION,STM_ADC1_OFFSET,-8,,8,mV,"SCP:hidreport ctrl set 0a02
SCP:hidreport momentcomp set 00 02
SCP:hidreport momentcomp set 02 01
",
,STM_ADC2_OFFSET,-8,,8,mV,,
,STM_ADC1_POSGAIN,2392,,2408,mV,,
,STM_ADC2_POSGAIN,2392,,2408,mV,,
,STM_ADC1_NEGGAIN,-2408,,-2392,mV,,
,STM_ADC2_NEGGAIN,-2408,,-2392,mV,,
