Group name,Items name,LSL,TYP,USL,Unit,Command,Power
FIXTURE_INIT,SLOT_ID,,,,,,
POWER_TREE,PP_BERYL_VDDMAIN,3.7,,3.9,V,"SCP:gpio set F 2 0
SCP:power set active
SCP:beryl pwr mode set ACT3
SCP:gpio set C 11 1
SCP:beryl mfio set config 11 1
",Set 3.8V in PP_VBATT
POWER_TREE,PP_0V65_A0A2A3_BUCK0_OUT,0.55,,0.75,V,,
POWER_TREE,PP_0V85_A0A2A3_BUCK1_OUT,0.75,,0.95,V,,
POWER_TREE,PP_1V2R1V8_A0A2A3_BUCK2_OUT,1.4,,1.6,V,,
POWER_TREE,PP_1V8_HO_BUCK3_OUT,1.7,,1.9,V,,
POWER_TREE,PP_1V8_A0A2A3_LDO0_OUT,1.7,,1.9,V,,
POWER_TREE,PP_1V2_A0A2A3_LDO1_OUT,1.1,,1.3,V,,
POWER_TREE,PP_1V2_A3_LDO2_OUT,1.1,,1.3,V,,
POWER_TREE,PP_1V8_A3_LDO3_OUT,1.7,,1.9,V,,
POWER_TREE,PP_VDDMAIN,3.7,,3.9,V,,
POWER_TREE,PP_3V0_A2_LDO4_OUT,2.9,,3.1,V,,
POWER_TREE,PP_3V0_A0_LDO5_OUT,2.9,,3.1,V,,
POWER_TREE,PP_1V8_A3_LDO6_OUT,1.7,,1.9,V,,
POWER_TREE,PP_1V8_A3_LDO7_OUT,1.7,,1.9,V,,
POWER_TREE,PP_1V8_A3_LDO8_OUT,1.7,,1.9,V,,
POWER_TREE,PP_1V8_XX_LDO9_OUT,1.7,,1.9,V,,
POWER_TREE,PP_2V1_A3_BUCK4_OUT,2,,2.2,V,,
POWER_TREE,PP_3V3_HO_BUBO0_OUT,3.25,,3.5,V,,
POWER_TREE,PP_3V3_FW_LS0_OUT,3.25,,3.5,V,"SCP:gpio config F 5 outputPP none high 0
SCP:gpio set F 5 1
",
POWER_TREE,PP_1V8_A0_LS1_OUT,1.7,,1.9,V,,
POWER_TREE,PP_3V3_A3_LS2_OUT,3.25,,3.5,V,,
POWER_TREE,PP_3V3R4V2_FW_LS3_OUT,3.25,,3.5,V,"SCP:gpio config D 8 outputPP none high 0
SCP:gpio set D 8 0
SCP:gpio config F 11 outputPP none high 0
SCP:gpio set F 11 1
",
POWER_TREE,PP_3V3R4V2_FW_LS4_OUT,3.25,,3.5,V,,
POWER_TREE,PP_VDDMAIN_FW_LS5_OUT,3.7,,3.9,V,"SCP:gpio config G 15 outputPP none high 0
SCP:gpio set G 15 1
SCP:headband pwr force full
",
POWER_TREE,PP_5V0_FW_BOOST0_OUT,4.5,,4.9,V,,
POWER_TREE,PP_1V2R1V8_A0A2A3_BUCK2_OUT_L,1.1,,1.3,V,"SCP:beryl write 0x2200 0x20
",
FW_VERSION_CHECK,SCP_VERSION,,,,,"SCP:ft version
",
FW_VERSION_CHECK,W2_VERSION,,,,,"W2:ft version
",
MLBSN_CHECK,MLBSN_CHECK,,,,,,
CHECK_CONFIG,S_BUILD,,,,,,
CHECK_CONFIG,BUILD_EVENT,,,,,,
CHECK_CONFIG,BUILD_MATRIX_CONFIG,,,,,,
CHECK_LINK_QUALITY,HEADBAND_ID,4,,7,,"SCP:ft reset
SCP:headband id
",
CHECK_LINK_QUALITY,CHECK_LINK_QUALITY,,,,,"SCP:b2p ping all
SCP:b2p link quality cp 100 1000
",
CHECK_LINK_QUALITY,CHECK_LINK_QUALITY_ACTIVE,,,,,"SCP:system set active
SCP:b2p ping all
SCP:b2p link quality cp 100 1000
",
CROSS_CUP_RESET_TEST,B2P_PING_ALL,,,,,"SCP:b2p ping all
",
CROSS_CUP_RESET_TEST,CHUNNEL_WRITE_0X06_0X08,,,,,"SCP:chunnel write 0x06 0x08
",
CROSS_CUP_RESET_TEST,B2P_PING_ALL,,,,,"SCP:b2p ping all
",
CUPS_SYNCHRONIZATION_TEST,REP_CHUNNEL_SYNC_GET_2_TIMES,47900,,48100,,"SCP:system set active
SCP:chunnel sync start
SCP:rep ""chunnel sync get"" 2 1000
",
SYSTEM_CURRENT,I_SYSTEM_CURR_ACT3,5,,50,mA,"SCP:system events disable
SCP:link events disable
SCP:push cp ""beryl pwr mode set SHIP""
SCP:headband pwr force off
SCP:i2c write reg16 i2c1 0x78 0x1401 03
SCP:i2c read reg16 i2c1 0x78 0x1401 1
",Set 3.8V in PP_VBATT
SYSTEM_CURRENT,I_SYSTEM_CURR_ACT0,3,,50,mA,"SCP:system events disable
SCP:link events disable
SCP:push cp ""beryl pwr mode set SHIP""
SCP:headband pwr force off
SCP:i2c write reg16 i2c1 0x78 0x1402 00
SCP:i2c write reg16 i2c1 0x78 0x1401 00
SCP:i2c read reg16 i2c1 0x78 0x1401 1
",
RESET_CURRENT,I_RESET_MCU_HEARST,0.001,,20,mA,,Set 3.8V in PP_VBATT
LED_OPERATION,GREEN_LED_VF_CHECK,0.25,,0.35,V,"SCP:gpio config C 11 outputPP none high 0
SCP:gpio set C 11 1
SCP:led green on
",
LED_OPERATION,WHITE_LED_VF_CHECK,0.25,,0.35,V,"SCP:led white on
",
LED_OPERATION,AMBER_LED_VF_CHECK,0.25,,0.35,V,"SCP:led amber on
",
LED_OPERATION,LED_OFF,,,,,"SCP:gpio set C 11 0
SCP:led off
",
MOMENT_COMP_CALIBRATION,STM_ADC1_OFFSET,-8,,8,mV,"SCP:hidreport ctrl set 0a02
SCP:hidreport momentcomp set 00 02
SCP:hidreport momentcomp set 02 01
",
MOMENT_COMP_CALIBRATION,STM_ADC2_OFFSET,-8,,8,mV,,
MOMENT_COMP_CALIBRATION,STM_ADC1_POSGAIN,2392,,2408,mV,,
MOMENT_COMP_CALIBRATION,STM_ADC2_POSGAIN,2392,,2408,mV,,
MOMENT_COMP_CALIBRATION,STM_ADC1_NEGGAIN,-2408,,-2392,mV,,
MOMENT_COMP_CALIBRATION,STM_ADC2_NEGGAIN,-2408,,-2392,mV,,
MOMENT_COMP_CALIBRATION,SAVE_THE_CAL_DATA,,,,,"SCP:hidreport momentcomp set 02 00
SCP:syscfg print McSC
",
MOMENT_COMP_CALIBRATION,CHECK_CAL_DATA,,,,,"SCP:syscfg add McSC 0
",Set 3.8V in PP_VBATT
BERYL_AND_SYSTEM_OPERATION_MODES,I_BERYL_ACTIVE_MODE,5,,50,mA,"SCP:beryl pwr mode set ACT3
SCP:beryl pwr mode get
",
BERYL_AND_SYSTEM_OPERATION_MODES,I_BERYL_SYSOFF,0.1,,1000,uA,"SCP:beryl pwr mode get
",
BERYL_AND_SYSTEM_OPERATION_MODES,I_BERYL_SHIP,0.1,,1000,uA,"SCP:beryl pwr mode set ACT3
SCP:beryl pwr mode get
SCP:beryl pwr mode get
",Set 3.8V in PP_VBATT
SECONDARY_SYSTEM_INTERFACE_CHECK,HB_POWER_OUT_RX_P_CHECK,3.7,,3.9,V,"SCP:gpio get E 12
SCP:gpio get E 13
SCP:i2c write reg16 i2c1 0xa0 0x0000 A3
SCP:i2c read reg16 i2c1 0xa0 0x0000 1
SCP:headband pwr force full
",Set 3.8V in PP_VBATT
SECONDARY_SYSTEM_INTERFACE_CHECK,HB_POWER_OUT_RX_N_CHECK,3.7,,3.9,V,,
HEADBAND_POWER_LOAD,HB_POWER_P_LS_HI,210,,310,mA,"SCP:system events disable
SCP:link events disable
SCP:push cp ""beryl pwr mode set SHIP""
SCP:headband pwr force full
SCP:gpio config C 13 outputPP none high 0
SCP:gpio set C 13 1
SCP:gpio get C 13
SCP:gpio get E 9
",Set 5V in PP_E75
HEADBAND_POWER_LOAD,HB_POWER_N_LS_HI,210,,310,mA,,
HEADBAND_POWER_LOAD,HB_POWER_P_LS_LO,30,,120,mA,"SCP:gpio set C 13 0
SCP:gpio get C 13
",
HEADBAND_POWER_LOAD,HB_POWER_N_LS_LO,30,,120,mA,,
JAKKU_TEST,ACCEL_TYPE_BASIC_MODE,0x17,,0x17,,"SCP:jakku accel get range
SCP:jakku init
SCP:jakku read 0
",
JAKKU_TEST,JAKKU_ID,,,,,"SCP:jakku id
",
JAKKU_TEST,ACCEL_ADOFF_X,,,,,,
JAKKU_TEST,ACCEL_ADOFF_Y,,,,,,
JAKKU_TEST,ACCEL_ADOFF_Z,,,,,,
JAKKU_TEST,ACCEL_ADGAIN_X,,,,,,
JAKKU_TEST,ACCEL_ADGAIN_Y,,,,,,
JAKKU_TEST,ACCEL_ADGAIN_Z,,,,,,
JAKKU_TEST,ACCEL_SELFTEST_X,1000,,8000,,"SCP:jakku init
SCP:jakku selftest
",
JAKKU_TEST,ACCEL_SELFTEST_Y,1000,,8000,,,
JAKKU_TEST,ACCEL_SELFTEST_Z,1000,,8000,,,
JAKKU_TEST,ACCEL_AVERAGE_OUTPUT_LOW_POWER_MODE,,,,,"SCP:jakku init
SCP:jakku stream 4g 0x07 50
",
JAKKU_TEST,ACCEL_LPM_AVERAGE_X,-820,,820,,,
JAKKU_TEST,ACCEL_LPM_AVERAGE_Y,-820,,820,,,
JAKKU_TEST,ACCEL_LPM_AVERAGE_Z,7372,,9011,,,
JAKKU_TEST,ACCEL_LPM_STD_X,0.1,,400,,,
JAKKU_TEST,ACCEL_LPM_STD_Y,0.1,,400,,,
JAKKU_TEST,ACCEL_LPM_STD_Z,0.1,,400,,,
JAKKU_TEST,ACCEL_TEMPERATURE_LOW_POWER_MODE,10,,40,C,"SCP:jakku get temp
",
JAKKU_TEST,ACCEL_LNM_AVERAGE_X,-820,,820,,"SCP:jakku init
SCP:jakku stream 4g 0x17 50
",
JAKKU_TEST,ACCEL_LNM_AVERAGE_Y,-820,,820,,,
JAKKU_TEST,ACCEL_LNM_AVERAGE_Z,7372,,9011,,,
JAKKU_TEST,ACCEL_LNM_STD_X,0.1,,400,,,
JAKKU_TEST,ACCEL_LNM_STD_Y,0.1,,400,,,
JAKKU_TEST,ACCEL_LNM_STD_Z,0.1,,400,,,
JAKKU_TEST,TEMPERATURE_SENSOR_CHECK,10,,40,C,"SCP:jakku get temp
SCP:i2c read reg8 i2c1 0xE8 0x00 1
",
SENSOR_I2C_SPI_CHECK,HAMM_SPI_WRITE,,,,,"SCP:ft reset sys
SCP:beryl pwr mode set ACT3
SCP:hidreport ctrl set 0A02
SCP:spi write spi2 B 12 AABBCCDD
",
SENSOR_I2C_SPI_CHECK,HAMM_SPI_READ_BACK,AABBCCDD,,AABBCCDD,,"SCP:spi transfer spi2 B 12 AABBCCDD
SCP:spi read spi2 B 12 4
",
SENSOR_I2C_SPI_CHECK,HAMM_32K_BUFFER,31000,,33000,Hz,,
SENSOR_I2C_SPI_CHECK,TEMPERATURE_SENSOR_CHECK,10,,40,C,"SCP:i2c read reg8 i2c1 0xE8 0x00 1
",
TRISTAR_FUNCTION,TRISTAR_USB0_CHECK_VID,0x05ac,,0x05ac,,,Set 5V in PP_E75
TRISTAR_FUNCTION,TRISTAR_USB0_CHECK_PID,0x1109,,0x1109,,,
TRISTAR_FUNCTION,TRISTAR_BRICK_ID_CHECK_DP,2.35,,2.75,,,
TRISTAR_FUNCTION,TRISTAR_BRICK_ID_CHECK_DN,2.35,,2.75,,,
TRISTAR_FUNCTION,CHECK_STM32_ID,,,,,,
ACCESSARY_POWER_LOAD,PP_3V3R4V2_FW_LS3_OUT,3.2,,3.4,V,,
ACCESSARY_POWER_LOAD,PP_3V3R4V2_FW_LS4_OUT,3.2,,3.4,V,,
ACCESSARY_POWER_LOAD,3V3_PP_TRISTAR_ACC1,3.2,,3.5,V,,
ACCESSARY_POWER_LOAD,3V3_ACC1_LS4_FLAGB_TRIGER_CURR,120,,180,mA,,
ACCESSARY_POWER_LOAD,3V3_PP_TRISTAR_ACC2,3.2,,3.5,V,,
ACCESSARY_POWER_LOAD,3V3_ACC2_LS4_FLAGB_TRIGER_CURR,120,,180,mA,,
ACCESSARY_POWER_LOAD,4V0_PP_3V3R4V2_FW_LS3_OUT,3.9,,4.1,V,,
ACCESSARY_POWER_LOAD,4V0_PP_3V3R4V2_FW_LS4_OUT,3.9,,4.1,V,,
ACCESSARY_POWER_LOAD,4V0_PP_TRISTAR_ACC1,3.9,,4.1,V,,
ACCESSARY_POWER_LOAD,4V0_ACC1_LS4_FLAGB_TRIGER_CURR,120,,180,mA,,
ACCESSARY_POWER_LOAD,4V0_PP_TRISTAR_ACC2,3.9,,4.1,V,,
ACCESSARY_POWER_LOAD,4V0_ACC2_LS4_FLAGB_TRIGER_CURR,120,,180,mA,,
CHARGE_OPERATION,MEAS_CHARGE_CURR_500MA,-520,,-480,mA,,Set 5V in PP_E75
CHARGE_OPERATION,MEAS_CHARGE_CURR_250MA,-270,,-230,mA,,
ABBOT_TEST,AUDIO_FREQ,,,,,"SCP:ft reset
",Set 3.8V in PP_VBATT
ABBOT_TEST,AUDIO_RMS,,,,,,
ABBOT_TEST,AUDIO_VPP,,,,,,
ABBOT_TEST,AUDIO_THD,,,,,,
ABBOT_TEST,AUDIO_THDN,,,,,,
ABBOT_TEST,B2P_PING_ALL,,,,,"SCP:b2p ping all
",
